Temperature,Humidity,Air_Quality,Fan_Status,Heater_Status,Mister_Status
24.528612355851713,59.64754470000363,780,OFF,OFF,OFF
21.419707242171135,51.505068627720924,564,OFF,OFF,OFF
25.26779497653409,57.23659850086002,319,ON,OFF,OFF
29.553535827702834,72.58479506344204,435,ON,OFF,OFF
20.950226696573385,82.32765037405832,642,OFF,OFF,OFF
20.950307079303997,70.08916360174243,998,OFF,OFF,OFF
29.828612072723814,61.97888327825696,430,ON,OFF,OFF
25.85408187060728,86.13664430987902,761,ON,OFF,OFF
19.79807627273852,54.806416215689055,470,OFF,OFF,OFF
24.753077489605808,78.05528658850984,583,OFF,OFF,OFF
19.827730324929547,55.23503572145806,944,OFF,OFF,OFF
19.816410291209188,67.67623329213794,751,OFF,OFF,OFF
23.281326842889726,58.25413582551658,235,OFF,OFF,OFF
12.729087730245503,59.25260681413147,407,OFF,ON,OFF
13.651325110876117,53.68960942511615,877,OFF,ON,OFF
19.343655726749475,83.48679945471642,591,OFF,OFF,OFF
17.137758400532405,47.53827437027756,259,OFF,ON,ON
23.635240262150337,47.411866557941245,343,OFF,OFF,ON
17.65090204410545,90.0,735,OFF,ON,OFF
15.181908809623298,77.13707006656831,810,OFF,ON,OFF
29.272593450618658,30.1,559,ON,OFF,ON
20.991241519613332,50.43915506952378,998,OFF,OFF,OFF
22.427283750647,30.1,766,OFF,OFF,ON
15.12097961994762,43.770638762686175,491,OFF,ON,ON
19.431319077487956,30.1,344,OFF,OFF,ON
22.639746117851956,57.848815467764425,303,OFF,OFF,OFF
16.461304000339823,40.46172460332514,640,OFF,ON,ON
23.93610771664464,61.255373746617856,428,OFF,OFF,OFF
19.15588538783236,32.102038962946004,985,OFF,OFF,ON
20.668504434786772,61.65342030560655,931,OFF,OFF,OFF
19.150656755096012,53.04029164486965,717,OFF,OFF,OFF
31.165561880179958,86.20483253886933,251,ON,OFF,OFF
22.03057679118874,84.63739219938905,381,OFF,OFF,OFF
16.918023281009386,73.80651468236347,877,OFF,ON,OFF
26.123905718111843,54.56804936660651,409,ON,OFF,OFF
16.119312478726258,90.0,843,OFF,ON,OFF
23.119273084782435,33.349228083706265,676,OFF,OFF,ON
12.50195918472355,35.93538487648534,567,OFF,ON,ON
15.59375553936546,58.769362560449544,373,OFF,ON,OFF
23.0605085779756,90.0,530,OFF,OFF,OFF
25.71225150383434,56.718179923674555,603,ON,OFF,OFF
22.935693040310007,57.048527229055686,820,OFF,OFF,OFF
21.530437072423283,35.27184592728403,326,OFF,OFF,ON
20.622432590282465,76.58484401555938,487,OFF,OFF,OFF
14.857698789527017,76.71022160883581,566,OFF,ON,OFF
18.572245669779473,73.87104199362517,725,OFF,OFF,OFF
19.841336147775024,49.33252342463367,320,OFF,OFF,ON
27.272414941699342,47.99190470859618,216,ON,OFF,ON
23.77904280808901,37.846089962697334,727,OFF,OFF,ON
13.464675180201823,61.67004088080871,164,OFF,ON,OFF
23.683401219811216,41.526358048320624,885,OFF,OFF,ON
20.211266746640465,39.847962511010685,514,OFF,OFF,ON
18.782396221091318,52.88848148092644,156,OFF,OFF,OFF
